formula,T(K),S（uV/K）,κ（W/mK）,PF（mW/mK^2）,ZT,ρ（μΩm）,composition
(BiS)1.2(Ti0.95Co0.05S2)2,300.0,30.0,2.3,1.26,0.0164347826086956,0.0007142857142857,Bi1.2 S5.2 Ti1.9 Co0.1
(BiS)1.2(Ti0.95Co0.05S2)2,400.0,45.0,2.2,2.43,0.0441818181818181,0.0008333333333333,Bi1.2 S5.2 Ti1.9 Co0.1
(BiS)1.2(Ti0.95Co0.05S2)2,700.0,70.0,2.5,4.9,0.1372,0.001,Bi1.2 S5.2 Ti1.9 Co0.1
(BiS)1.2(Ti0.95Co0.05S2)2,800.0,70.0,2.5,4.9,0.1568,0.001,Bi1.2 S5.2 Ti1.9 Co0.1
(BiS)1.2(Ti0.95Cr0.05S2)2,300.0,50.0,2.1,3.0,0.0428571428571428,0.0008333333333333,Bi1.2 S5.2 Ti1.9 Cr0.1
(BiS)1.2(Ti0.95Cr0.05S2)2,400.0,65.0,2.0,4.140499999999999,0.08281,0.0010204081632653,Bi1.2 S5.2 Ti1.9 Cr0.1
(BiS)1.2(Ti0.95Cr0.05S2)2,700.0,105.0,1.9,6.614999999999998,0.2437105263157894,0.0016666666666666,Bi1.2 S5.2 Ti1.9 Cr0.1
(BiS)1.2(Ti0.95Cr0.05S2)2,800.0,105.0,1.9,6.614999999999998,0.2785263157894737,0.0016666666666666,Bi1.2 S5.2 Ti1.9 Cr0.1
(BiS)1.2(Ti0.95Cu0.05S2)2,300.0,30.0,2.5,1.71,0.02052,0.0005263157894736,Bi1.2 S5.2 Ti1.9 Cu0.1
(BiS)1.2(Ti0.95Cu0.05S2)2,400.0,40.0,2.4,2.32,0.0386666666666666,0.0006896551724137,Bi1.2 S5.2 Ti1.9 Cu0.1
(BiS)1.2(Ti0.95Cu0.05S2)2,700.0,70.0,2.4,3.43,0.1000416666666666,0.0014285714285714,Bi1.2 S5.2 Ti1.9 Cu0.1
(BiS)1.2(Ti0.95Cu0.05S2)2,800.0,70.0,2.4,3.43,0.1143333333333333,0.0014285714285714,Bi1.2 S5.2 Ti1.9 Cu0.1
(BiS)1.2(Ti0.95Fe0.05S2)2,300.0,45.0,1.9,1.62,0.025578947368421,0.00125,Bi1.2 S5.2 Ti1.9 Fe0.1
(BiS)1.2(Ti0.95Fe0.05S2)2,400.0,55.0,1.9,2.3595,0.0496736842105263,0.0012820512820512,Bi1.2 S5.2 Ti1.9 Fe0.1
(BiS)1.2(Ti0.95Fe0.05S2)2,700.0,70.0,2.4,3.822,0.111475,0.0012820512820512,Bi1.2 S5.2 Ti1.9 Fe0.1
(BiS)1.2(Ti0.95Fe0.05S2)2,800.0,70.0,2.4,3.822,0.1274,0.0012820512820512,Bi1.2 S5.2 Ti1.9 Fe0.1
(BiS)1.2(Ti0.95Mn0.05S2)2,300.0,30.0,2.4,1.26,0.01575,0.0007142857142857,Bi1.2 S5.2 Ti1.9 Mn0.1
(BiS)1.2(Ti0.95Mn0.05S2)2,400.0,50.0,2.3,3.25,0.0565217391304347,0.0007692307692307,Bi1.2 S5.2 Ti1.9 Mn0.1
(BiS)1.2(Ti0.95Mn0.05S2)2,700.0,80.0,2.2,4.8,0.1527272727272727,0.0013333333333333,Bi1.2 S5.2 Ti1.9 Mn0.1
(BiS)1.2(Ti0.95Mn0.05S2)2,800.0,80.0,2.2,4.8,0.1745454545454545,0.0013333333333333,Bi1.2 S5.2 Ti1.9 Mn0.1
(BiS)1.2(Ti0.95Ni0.05S2)2,300.0,30.0,2.3,1.35,0.0176086956521739,0.0006666666666666,Bi1.2 S5.2 Ti1.9 Ni0.1
(BiS)1.2(Ti0.95Ni0.05S2)2,400.0,45.0,2.3,2.53125,0.0440217391304347,0.0008,Bi1.2 S5.2 Ti1.9 Ni0.1
(BiS)1.2(Ti0.95Ni0.05S2)2,700.0,75.0,2.5,4.78125,0.133875,0.0011764705882352,Bi1.2 S5.2 Ti1.9 Ni0.1
(BiS)1.2(Ti0.95Ni0.05S2)2,800.0,75.0,2.5,4.78125,0.153,0.0011764705882352,Bi1.2 S5.2 Ti1.9 Ni0.1
(BiS)1.2(Ti0.95V0.05S2)2,300.0,45.0,2.3,2.28825,0.0298467391304347,0.0008849557522123,Bi1.2 S5.2 Ti1.9 V0.1
(BiS)1.2(Ti0.95V0.05S2)2,400.0,60.0,2.2,3.6,0.0654545454545454,0.001,Bi1.2 S5.2 Ti1.9 V0.1
(BiS)1.2(Ti0.95V0.05S2)2,700.0,95.0,2.2,6.3175,0.2010113636363636,0.0014285714285714,Bi1.2 S5.2 Ti1.9 V0.1
(BiS)1.2(Ti0.95V0.05S2)2,800.0,95.0,2.2,6.3175,0.2297272727272727,0.0014285714285714,Bi1.2 S5.2 Ti1.9 V0.1
